Num of movable links,target_xcor,Elapsed time,Best solution,Best solution time,Fitness value of the best solution,Generation of the best solution,Best solution distance,Best solution time of throw,Best solution total work sum,Acceptable solution,Acceptable solution time,Fitness value of the acceptable solution,Generation of the acceptable solution,Acceptable solution distance,Acceptable solution time of throw,Acceptable solution total work sum,num_generations,num_parents_mating,parent_selection_type,crossover_type,init_range_low,init_range_high,random_mutation_min_val,random_mutation_max_val,mutation_probability,sol_per_pop,max_fitness,distance_value,time_value,work_sum_value,penalty_col,penalty_angle,fitness_change,Num_of_training_instances
4,4000.0,8.849898099899292,"[0.6298247819200018, -4.965917411226393, 65.32257873872692, 24.342110774579893, 46.78843239382711, 16.145231135558316, 1.4710143464222571, 74.14688841421312]",1.066807508468628,1676.2014160352842,9,121.11826686753784,2.954999999999959,171437.83932103906,"[0, 0, 0, 0, 0, 0, 0, 0]",False,False,10,-1,-1,-1,10,30,sss,single_point,0.0,2.0,-50.0,50.0,0.5,50,3000.0,0.9,5.0,1e-07,200.0,500.0,"[312.13963185060175, 312.13963185060175, 872.1584400657421, 872.1584400657421, 1058.5376841387447, 1058.5376841387447, 1058.5376841387447, 1125.101387250816, 1676.2014160352842, 1676.2014160352842]",6
4,4000.0,8.867919683456421,"[14.667500856067019, 0.7171382364842187, 2.0173530238593944, 36.02263032987143, 36.34620493005402, -58.0436746898981, 0.6649857597682498, 62.63955227407363]",0.700984001159668,1264.6577785988552,3,24.567016793598214,2.639999999999966,319062.8690641096,"[0, 0, 0, 0, 0, 0, 0, 0]",False,False,10,-1,-1,-1,10,30,sss,single_point,0.0,2.0,-50.0,50.0,0.5,50,3000.0,0.9,5.0,1e-07,200.0,500.0,"[358.58501275735625, 358.58501275735625, 1264.6577785988552, 1264.6577785988552, 1264.6577785988552, 1264.6577785988552, 1264.6577785988552, 1264.6577785988552, 1264.6577785988552, 1264.6577785988552]",6
4,4000.0,9.280754089355469,"[-29.249393786440336, -8.598370885938884, -0.01414768650393583, 35.055579958155434, 4.9952514181301595, 56.08420044509765, 1.2973804518859589, 18.561241859604536]",4.8356711864471436,1774.0881836286708,2,11.823454158478398,3.049999999999957,207076.2869889519,"[0, 0, 0, 0, 0, 0, 0, 0]",False,False,10,-1,-1,-1,10,30,sss,single_point,0.0,2.0,-50.0,50.0,0.5,50,3000.0,0.9,5.0,1e-07,200.0,500.0,"[938.6677112352827, 1774.0881836286708, 1774.0881836286708, 1774.0881836286708, 1774.0881836286708, 1774.0881836286708, 1774.0881836286708, 1774.0881836286708, 1774.0881836286708, 1774.0881836286708]",6
4,4000.0,9.278762578964233,"[-4.979752664204582, 45.95332596488775, 0.10730824116586923, 9.009940045853824, 0.7717755446476575, -35.4733663061399, -0.6138854142244825, 65.35791484971516]",1.6236305236816406,2271.0007228381687,7,16.852842826131564,2.7649999999999633,67186.18312956237,"[-17.512818083066264, 53.7786432599555, -12.24752716331674, 63.39175159609492, 74.79177285503737, 64.35935145431992, 79.7392029742893, 19.552809746873642]",7,776.4012011135815,5,9.66710400978127,2.974999999999959,234052.7761552084,10,30,sss,single_point,0.0,2.0,-50.0,50.0,0.5,50,3000.0,0.9,5.0,1e-07,200.0,500.0,"[-195.795196721916, -195.795196721916, 461.57690933789127, 1690.3600139519885, 1690.3600139519885, 2066.1152525487696, 2271.0007228381687, 2271.0007228381687, 2271.0007228381687, 2271.0007228381687]",6
4,4000.0,8.65501093864441,"[0.31114033838581445, 11.362415347780876, 0.7160293563195739, 29.339188718930412, -28.089584550304554, 20.843119192268063, 1.346302922740362, 19.07518844212583]",5.619539499282837,2217.314278630502,1,73.37440876608116,3.3249999999999513,237534.80025067233,"[75.21755145114531, 17.166782348657442, 24.703335806065045, 13.108635999851364, 49.80981878944773, 20.843119192268063, 81.93733395161375, 93.12736618493811]",6,775.1317364294882,6,3.9072188450613794,4.2549999999999315,767666.0995695113,10,30,sss,single_point,0.0,2.0,-50.0,50.0,0.5,50,3000.0,0.9,5.0,1e-07,200.0,500.0,"[2217.314278630502, 2217.314278630502, 2217.314278630502, 2217.314278630502, 2217.314278630502, 2217.314278630502, 2217.314278630502, 2217.314278630502, 2217.314278630502, 2217.314278630502]",6
4,4000.0,8.792693614959717,"[-36.76521462894945, 45.18327486186456, -0.5757770355402361, 19.473858396002996, 40.87680159867695, 36.21345936242524, 0.7778498200006196, 51.32543831611606]",3.2781407833099365,1778.8017872726532,4,2.7022295455940366,3.7499999999999423,162061.36312589116,"[-36.76521462894945, 45.18327486186456, -0.5757770355402361, 19.473858396002996, 40.87680159867695, 36.21345936242524, 0.7778498200006196, 51.32543831611606]",6,1778.8017872726532,4,2.7022295455940366,3.7499999999999423,162061.36312589116,10,30,sss,single_point,0.0,2.0,-50.0,50.0,0.5,50,3000.0,0.9,5.0,1e-07,200.0,500.0,"[838.9412254756185, 1621.3520417387913, 1621.3520417387913, 1778.8017872726532, 1778.8017872726532, 1778.8017872726532, 1778.8017872726532, 1778.8017872726532, 1778.8017872726532, 1778.8017872726532]",6
4,4000.0,8.904947280883789,"[45.755807568594506, 0.4334074697937409, -30.485803782504323, 1.5946967081422943, 1.5051390305851264, 45.976455936436054, 30.08996692603097, 19.333275296621967]",4.785259008407593,1253.9654161140097,2,34.66727971992623,2.959999999999959,340321.3805671095,"[0, 0, 0, 0, 0, 0, 0, 0]",False,False,0,-1,-1,-1,10,30,sss,single_point,0.0,2.0,-50.0,50.0,0.5,50,3000.0,0.9,5.0,1e-07,200.0,500.0,"[-61.721969311264274, 1253.9654161140097, 1253.9654161140097, 1253.9654161140097, 1253.9654161140097, 1253.9654161140097, 1253.9654161140097, 1253.9654161140097, 1253.9654161140097, 1253.9654161140097]",6
4,4000.0,9.111252784729004,"[0.2955689118844065, -34.05063671584367, 0.0371216446089202, 1.2586131155715878, 1.6141926240934588, -69.99083231157373, -1.12733553074397, 88.462838927805]",2.137881278991699,1922.5451047689494,7,400.68655339635916,3.3649999999999505,119971.74327418083,"[0, 0, 0, 0, 0, 0, 0, 0]",False,False,0,-1,-1,-1,10,30,sss,single_point,0.0,2.0,-50.0,50.0,0.5,50,3000.0,0.9,5.0,1e-07,200.0,500.0,"[241.81222379597784, 241.81222379597784, 241.81222379597784, 241.81222379597784, 515.649050680202, 515.649050680202, 1922.5451047689494, 1922.5451047689494, 1922.5451047689494, 1922.5451047689494]",6
4,4000.0,9.18311357498169,"[1.5450452274394773, -30.243664900554297, 3.1732980819994676, 63.12839811126969, 85.18053627185586, 17.777873651361645, 30.497664217308156, 76.71268612697463]",1.445502758026123,1121.895729650044,8,181.79854089588116,2.8899999999999606,355835.43663358485,"[0, 0, 0, 0, 0, 0, 0, 0]",False,False,0,-1,-1,-1,10,30,sss,single_point,0.0,2.0,-50.0,50.0,0.5,50,3000.0,0.9,5.0,1e-07,200.0,500.0,"[443.5566673956, 443.5566673956, 864.8014773420769, 864.8014773420769, 864.8014773420769, 864.8014773420769, 864.8014773420769, 1121.895729650044, 1121.895729650044, 1121.895729650044]",6
4,4000.0,9.191108465194702,"[0.2212761756879269, 7.183968664844233, -10.369585265492535, 1.4374271353526709, 1.258499396678028, 31.345962088823597, 6.267409532174831, 17.707368942603672]",4.016504764556885,1558.7549678734727,3,251.59195182689064,2.959999999999959,122754.82325897603,"[0, 0, 0, 0, 0, 0, 0, 0]",False,False,0,-1,-1,-1,10,30,sss,single_point,0.0,2.0,-50.0,50.0,0.5,50,3000.0,0.9,5.0,1e-07,200.0,500.0,"[517.384062555943, 887.2833359233532, 1558.7549678734727, 1558.7549678734727, 1558.7549678734727, 1558.7549678734727, 1558.7549678734727, 1558.7549678734727, 1558.7549678734727, 1558.7549678734727]",6
